0,0.011109
0.1,0.0149208
0.2,0.0198411
0.3,0.0261214
0.4,0.0340475
0.5,0.0439369
0.6,0.0561348
0.7,0.0710054
0.8,0.0889216
0.9,0.110251
1,0.135335
1.1,0.164474
1.2,0.197899
1.3,0.235746
1.4,0.278037
1.5,0.324652
1.6,0.375311
1.7,0.429557
1.8,0.486752
1.9,0.546074
2,0.606531
2.1,0.666977
2.2,0.726149
2.3,0.782705
2.4,0.83527
2.5,0.882497
2.6,0.923116
2.7,0.955997
2.8,0.980199
2.9,0.995012
3,1
3.1,0.995012
3.2,0.980199
3.3,0.955997
3.4,0.923116
3.5,0.882497
3.6,0.83527
3.7,0.782705
3.8,0.726149
3.9,0.666977
4,0.606531
4.1,0.546075
4.2,0.486752
4.3,0.429557
4.4,0.375311
4.5,0.324652
4.6,0.278037
4.7,0.235746
4.8,0.197899
4.9,0.164474
5,0.135335
5.1,0.110251
5.2,0.0889217
5.3,0.0710053
5.4,0.0561348
5.5,0.0439369
5.6,0.0340475
5.7,0.0261214
5.8,0.0198411
5.9,0.0149208
6,0.011109
6.1,0.0081887
6.2,0.00597603
6.3,0.00431784
6.4,0.00308871
6.5,0.00218749
6.6,0.00153381
6.7,0.00106477
6.8,0.000731802
6.9,0.000497955
7,0.000335463
7.1,0.000223746
7.2,0.000147749
7.3,9.65933e-05
7.4,6.25215e-05
7.5,4.00653e-05
7.6,2.54193e-05
7.7,1.59668e-05
7.8,9.9295e-06
7.9,6.11357e-06
8,3.72665e-06
8.1,2.24905e-06
8.2,1.34381e-06
8.3,7.94939e-07
8.4,4.65572e-07
8.5,2.69958e-07
8.6,1.54975e-07
8.7,8.80819e-08
8.8,4.9564e-08
8.9,2.76125e-08
9,1.523e-08
9.1,8.31669e-09
9.2,4.49635e-09
9.3,2.40672e-09
9.4,1.27541e-09
9.5,6.69159e-10
9.6,3.47588e-10
9.7,1.78756e-10
9.8,9.10146e-11
9.9,4.58798e-11
10,2.28973e-11
10.1,1.13138e-11
10.2,5.53462e-12
10.3,2.68055e-12
10.4,1.28534e-12
10.5,6.10194e-13
10.6,2.86797e-13
10.7,1.33457e-13
10.8,6.14838e-14
10.9,2.80442e-14
11,1.26642e-14
11.1,5.66197e-15
11.2,2.50622e-15
11.3,1.09831e-15
11.4,4.76533e-16
11.5,2.04697e-16
11.6,8.7054e-17
11.7,3.66544e-17
11.8,1.52798e-17
11.9,6.30622e-18
12,2.57676e-18
12.1,1.0424e-18
12.2,4.17501e-19
12.3,1.65552e-19
12.4,6.49937e-20
12.5,2.52616e-20
12.6,9.72097e-21
12.7,3.70354e-21
12.8,1.39694e-21
12.9,5.21675e-22
13,1.92875e-22
13.1,7.06005e-23
13.2,2.5586e-23
13.3,9.18012e-24
13.4,3.26105e-24
13.5,1.14688e-24
13.6,3.99332e-25
13.7,1.37662e-25
13.8,4.69834e-26
13.9,1.58759e-26
14,5.31109e-27
14.1,1.75909e-27
14.2,5.76835e-28
14.3,1.8727e-28
14.4,6.01931e-29
14.5,1.91548e-29
14.6,6.03482e-30
14.7,1.88241e-30
14.8,5.81322e-31
14.9,1.77739e-31
15,5.38019e-32
15.1,1.6124e-32
15.2,4.78416e-33
15.3,1.40537e-33
15.4,4.08735e-34
15.5,1.17691e-34
15.6,3.35507e-35
15.7,9.46941e-36
15.8,2.64602e-36
15.9,7.32032e-37
16,2.00501e-37
16.1,5.43699e-38
16.2,1.45969e-38
16.3,3.87997e-39
16.4,1.02105e-39
16.5,2.66021e-40
16.6,6.86188e-41
16.7,1.75232e-41
16.8,4.43091e-42
16.9,1.10983e-42
17,2.74654e-43
17.1,6.72623e-44
17.2,1.68156e-44
17.3,4.2039e-45
17.4,1.4013e-45
17.5,0
17.6,0
17.7,0
17.8,0
17.9,0
18,0
18.1,0
18.2,0
18.3,0
18.4,0
18.5,0
18.6,0
18.7,0
18.8,0
18.9,0
19,0
19.1,0
19.2,0
19.3,0
19.4,0
19.5,0
19.6,0
19.7,0
19.8,0
19.9,0
